film_code,avg_occupancy_per_film,tot_tickets_sold
1482,28.373278333784114,1628821
1484,28.134077467238825,1789357
1485,27.459729952247713,960897
1483,26.215047345767594,1623569
1554,25.36805304400241,4129543
1481,24.228180577427853,1160989
1578,23.93005955603682,194753
1486,22.465828247602435,184459
1471,22.381223175965676,21552
1496,22.232557172557208,122901
1573,19.623629296235652,567610
1493,19.419250714966736,1719867
1575,19.08285084959092,152658
1576,18.76008124576843,968888
1587,18.72002415458937,38455
1553,17.77031228070176,289513
1480,17.47552669552673,55451
1572,17.316824909243206,353376
1495,17.200162271805254,328261
1557,16.895023923444967,11133
1494,16.6415293922285,545282
1569,16.386312056737598,49489
1497,16.082817693684454,346632
1559,16.015952315702936,251643
1558,15.995146561443029,280940
1511,15.960636923076914,225614
1498,15.135064935064953,287911
1565,15.001022364217258,5793
1560,14.911278195488705,40144
1556,14.868178822180854,635816
1512,14.80246017699116,11624
1499,14.525527279737792,381985
1551,14.40701499118165,157392
1552,14.20482405891982,125114
1568,13.827571644042235,22236
1571,13.12168478260871,21584
1564,12.7539846743295,32131
1492,12.356500920810314,24509
1562,12.128157649253748,111634
1566,11.750268817204304,17535
1589,9.65940298507462,812
1500,9.13977883096368,15208
1570,7.7842815249266915,6838
1550,7.754955752212386,17006
1563,7.59986164488855,41137
1567,6.9010526315789535,4773
1502,6.883361064891851,9956
1584,5.474358974358975,176
